1392759636;05;20;17;56;2919;2048
1392759637;05;20;17;57;2919;2048
1392759638;05;20;17;58;2919;2048
1392759639;05;20;17;59;2919;2048
1392759640;05;20;18;00;2919;2048
1392759641;05;20;18;01;2919;2048
1392759642;05;20;18;02;2919;2048
1392759643;05;20;18;03;2919;2048
1392759644;05;20;18;04;2919;2048
1392759652;05;20;18;12;2919;2048
1392759653;05;20;18;13;2919;2048
1392759654;05;20;18;14;2919;2048
1392759655;05;20;18;15;2919;2048
1392759656;05;20;18;16;2919;2048
1392759660;05;20;18;20;2919;2048
1392759661;05;20;18;21;2919;2048
1392759662;05;20;18;22;2919;2048
1392759663;05;20;18;23;2919;2048
1392759664;05;20;18;24;2919;2048
1392759668;05;20;18;28;2919;2048
1392759669;05;20;18;29;2919;2048
1392759670;05;20;18;30;2919;2048
1392759671;05;20;18;31;2919;2048
1392759672;05;20;18;32;2919;2048
1392759676;05;20;18;36;2919;2048
1392759677;05;20;18;37;2919;2048
1392759678;05;20;18;38;2919;2048
1392759679;05;20;18;39;2919;2048
1392759680;05;20;18;40;2919;2048
1392759688;05;20;18;48;2919;2048
1392759689;05;20;18;49;2919;2048
1392759690;05;20;18;50;2919;2048
1392759691;05;20;18;51;2919;2048
1392759692;05;20;18;52;2919;2048
1392759693;05;20;18;53;2919;2048
1392759694;05;20;18;54;2919;2048
1392759695;05;20;18;55;2919;2048
1392759696;05;20;18;56;2919;2048
1392759712;05;20;19;12;2919;2048
1392759713;05;20;19;13;2919;2048
1392759714;05;20;19;14;2919;2048
1392759715;05;20;19;15;2919;2048
1392759716;05;20;19;16;2919;2048
1392759720;05;20;19;20;2919;2048
1392759721;05;20;19;21;2919;2048
1392759722;05;20;19;22;2919;2048
1392759723;05;20;19;23;2919;2048
1392759724;05;20;19;24;2919;2048
1392759725;05;20;19;25;2919;2048
1392759726;05;20;19;26;2919;2048
1392759727;05;20;19;27;2919;2048
1392759728;05;20;19;28;2919;2048
1392759729;05;20;19;29;2919;2048
1392759730;05;20;19;30;2919;2048
1392759731;05;20;19;31;2919;2048
1392759732;05;20;19;32;2919;2048
1392759740;05;20;19;40;2919;2048
1392759741;05;20;19;41;2919;2048
1392759742;05;20;19;42;2919;2048
1392759743;05;20;19;43;2919;2048
1392759744;05;20;19;44;2919;2048
1392759745;05;20;19;45;2919;2048
1392759746;05;20;19;46;2919;2048
1392759747;05;20;19;47;2919;2048
1392759748;05;20;19;48;2919;2048
